"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
"1",5.87493668639502e-231,2.06243031740127,0.653,0.243,5.30448033414607e-227,"0","GNLY",466.677156680068
"2",2.18224397414316e-285,1.58191623907567,0.773,0.293,1.97034808425386e-281,"0","CD81",444.052520895113
"3",1.3075455506936e-220,2.03684487746305,0.506,0.116,1.18058287772125e-216,"0","GZMB",439.811644185532
"4",0,1.42325231092518,0.912,0.328,2.2250738585072e-308,"0","CST7",437.867353000261
"5",0,1.38298225361207,0.982,0.414,2.2250738585072e-308,"0","NKG7",425.478162927986
"6",1.67284412958256e-240,1.7997729939864,0.609,0.171,1.5104109646001e-236,"0","PLEK",424.424096003072
"7",3.89606197629193e-229,1.69628940154976,0.579,0.153,3.51775435839398e-225,"0","ZEB2",380.738490954009
"8",1.4131802158465e-201,1.90922130461557,0.624,0.221,1.27596041688781e-197,"0","DUSP2",375.914530368733
"9",7.40775544931056e-200,1.78318131437706,0.478,0.116,6.6884623951825e-196,"0","MYBL1",348.031831199917
"10",3.78905630107468e-279,1.23652459847783,0.956,0.398,3.42113893424033e-275,"0","GZMA",339.383749356884
"11",5.53622782710087e-222,1.52840973912936,0.591,0.152,4.99866010508938e-218,"0","CCL4",332.125188471118
"12",1.3374948101948e-215,1.51254164146319,0.652,0.209,1.20762406412489e-211,"0","KLRD1",319.022361152166
"13",2.13667051009847e-174,1.85481489554278,0.491,0.14,1.92919980356791e-170,"0","FGFBP2",314.789210344115
"14",1.32421241989277e-284,1.10704557701659,0.993,0.531,1.19563139392118e-280,"0","CCL5",309.886857805964
"15",7.05908944222345e-220,1.40967183175327,0.629,0.197,6.37365185738355e-216,"0","SAMD3",303.355192077281
"16",1.21323433576292e-164,1.8905909206976,0.353,0.068,1.09542928176034e-160,"0","C1orf21",302.419709506825
"17",3.46041367405014e-135,2.24437722388664,0.319,0.072,3.12440750629987e-131,"0","CX3CR1",292.902971033842
"18",9.9859462277848e-201,1.47704871363761,0.642,0.214,9.0163108490669e-197,"0","PRF1",289.567972413584
"19",4.58924722109926e-211,1.39770369730076,0.681,0.243,4.14363131593052e-207,"0","KLRG1",288.461749485868
"20",3.83325228631289e-145,2.0499131676219,0.306,0.057,3.46104348931191e-141,"0","ADGRG1",287.932428989695
"21",2.89126824361353e-234,1.19134763404561,0.858,0.384,2.61052609715865e-230,"0","GZMM",273.513487866991
"22",7.33054350300486e-137,2.05179805437479,0.303,0.062,6.61874772886308e-133,"0","TGFBR3",271.205074983998
"23",2.97452061384164e-191,1.40207646435045,0.658,0.255,2.68569466223761e-187,"0","EFHD2",261.586728622302
"24",1.38856013995239e-189,1.09173673772587,0.683,0.23,1.25373095036301e-185,"0","GZMH",201.864083185585
"25",1.239975825259e-184,1.11657840182952,0.706,0.262,1.11957417262636e-180,"0","KLRK1",200.92934095278
"26",3.96443108799834e-241,1.83528705071419,0.512,0.094,3.57948482935371e-237,"1","MAL",433.946611379252
"27",0,1.02262919079659,1,0.979,2.2250738585072e-308,"1","TPT1",314.614586210529
"28",3.94780318347887e-247,1.19692463799649,0.657,0.161,3.56447149436307e-243,"1","RCAN3",290.191990442914
"29",6.0555982805832e-199,1.465808299137,0.519,0.122,5.46759968753857e-195,"1","LEF1",284.751149791095
"30",6.3721436811613e-226,1.18107964828383,0.952,0.552,5.75340852972054e-222,"1","LDHB",261.302149715865
"31",2.93398021870189e-195,0.963254236104287,0.98,0.617,2.64909073946593e-191,"1","LTB",183.574009277836
"32",7.82303589903294e-161,1.12407045772358,0.74,0.326,7.06341911323684e-157,"1","NOSIP",175.524709209688
"33",8.08510771235796e-239,0.719605547727569,1,0.99,7.300043753488e-235,"1","EEF1A1",168.486049923228
"34",1.5450664454639e-160,1.05442612264084,0.724,0.305,1.39504049360935e-156,"1","TMEM123",164.338019018315
"35",7.87277124127455e-139,1.1947079154675,0.423,0.109,7.10832515374679e-135,"1","AQP3",160.267955470138
"36",2.67979953403312e-168,0.946589046803036,0.788,0.337,2.4195909992785e-164,"1","TCF7",154.877357739288
"37",9.26108468221826e-131,1.20178341582841,0.695,0.31,8.36183335957487e-127,"1","H1FX",151.518087153046
"38",4.96277219593556e-130,1.18339203408755,0.392,0.099,4.48088701571021e-126,"1","RGCC",148.336577333904
"39",1.60591772274059e-106,1.44016688533772,0.332,0.086,1.44998311186248e-102,"1","TMEM238",146.664632736005
"40",5.17541356365511e-151,0.976223655950641,0.968,0.63,4.6728809066242e-147,"1","IL7R",142.851212988539
"41",3.90590574457701e-153,0.950549901103013,0.975,0.639,3.52664229677858e-149,"1","KLF2",141.111640928383
"42",6.09650089901963e-117,1.22036963718943,0.35,0.087,5.50453066172482e-113,"1","SUSD3",136.997816444489
"43",7.86761156811207e-119,1.16398662376203,0.394,0.11,7.10366648484839e-115,"1","TRABD2A",132.86734741865
"44",3.79622060391991e-104,1.29104708426403,0.32,0.081,3.42760758327929e-100,"1","CD40LG",128.414009733098
"45",1.17180754980584e-161,0.77548578376916,0.992,0.839,1.05802503671969e-157,"1","EEF1B2",121.7322717948
"46",5.48938267147179e-134,0.931694073920234,0.765,0.372,4.95636361407188e-130,"1","LEPROTL1",120.472550213003
"47",5.18418795626883e-127,0.942359307370179,0.433,0.122,4.68080330571512e-123,"1","CCR7",115.278512146386
"48",6.25013216270351e-108,0.992583657788713,0.604,0.266,5.643244329705e-104,"1","SELL",102.482745151313
"49",2.33388479733753e-115,0.827592011010895,0.845,0.485,2.10726458351606e-111,"1","C12orf57",91.5948059076432
"50",1.50877790151009e-100,0.938024730485762,0.537,0.224,1.36227556727346e-96,"1","UBALD2",89.9244302666627
"51",4.3935611616174e-42,0.665096803276765,0.171,0.465,3.96694637282435e-38,"2","DDX46",24.8756471328641
"52",1.84902290154445e-39,0.685900556368777,0.16,0.434,1.66948277780448e-35,"2","FMNL1",23.8538503941733
"53",5.7517650160459e-44,0.603355753881213,0.156,0.44,5.19326863298784e-40,"2","EIF5B",23.7025648392522
"54",3.70032123809395e-39,0.678803920694049,0.155,0.421,3.34102004587502e-35,"2","FAM133B",23.4025260498807
"55",3.78014786342566e-30,0.89036754756559,0.148,0.374,3.41309550588702e-26,"2","TMC6",22.6748581668399
"56",1.84361537063637e-32,0.814189252455952,0.131,0.35,1.66460031814757e-28,"2","CREBRF",22.6171108670431
"57",2.51450511382693e-38,0.663074392318677,0.108,0.328,2.27034666727434e-34,"2","SMC3",22.308413735479
"58",2.4592422908451e-34,0.749825348217977,0.189,0.471,2.22044986440404e-30,"2","ARHGEF1",22.234990224317
"59",1.00420815342581e-33,0.756717404427364,0.115,0.324,9.06699541728166e-30,"2","DNAJB14",21.9769929167952
"60",2.46595641808896e-33,0.764706224800625,0.103,0.301,2.22651204989252e-29,"2","ATP1A1",21.9106494796804
"61",2.98796108654778e-32,0.793636526433662,0.186,0.457,2.69783006504399e-28,"2","EPC1",21.8797538179285
"62",1.94194710413279e-41,0.594617290533296,0.161,0.442,1.75338404032149e-37,"2","ROCK1",21.8558262395166
"63",7.24793901739087e-37,0.675632308527335,0.168,0.44,6.54416413880222e-33,"2","DDX39B",21.7446487358833
"64",1.40948822114826e-35,0.701795228912111,0.109,0.32,1.27262691487476e-31,"2","ERBIN",21.6821733610816
"65",1.03938530616715e-36,0.673289757231655,0.134,0.373,9.38460992938318e-33,"2","STK10",21.5638441039705
"66",1.15060452122391e-40,0.591313931643296,0.169,0.456,1.03888082221307e-36,"2","RBMX",21.2775059926669
"67",3.87491510519683e-33,0.745842696567623,0.103,0.3,3.49866084848222e-29,"2","SMARCA2",21.2237729816497
"68",9.67193204006747e-39,0.622806217389972,0.113,0.34,8.73278743897691e-35,"2","YME1L1",21.212061737671
"69",4.32359167759869e-35,0.696339537115983,0.102,0.306,3.90377092570385e-31,"2","CARD8",21.1746517293542
"70",2.14593133023949e-39,0.604716283964213,0.158,0.428,1.93756139807323e-35,"2","TAF1D",20.991361876288
"71",1.33136390189981e-35,0.678760817191244,0.102,0.307,1.20208846702534e-31,"2","CCM2",20.9873276160382
"72",6.41108741895739e-35,0.686481477576597,0.162,0.419,5.78857083057663e-31,"2","SRSF10",20.7574346965273
"73",6.39393210915733e-35,0.685225865848349,0.128,0.354,5.77308130135815e-31,"2","RSF1",20.7202656088655
"74",1.1800914171636e-38,0.609773140036007,0.109,0.331,1.06550454055701e-34,"2","EWSR1",20.7154842765141
