"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
"1",1.64949482433609e-243,1.47095417592857,0.774,0.314,1.48932887689305e-239,"0","CD81",351.303586786445
"2",3.19998511439083e-193,1.82481241670535,0.654,0.261,2.88926655978348e-189,"0","GNLY",344.048695803097
"3",1.11181707569807e-180,1.91471777626643,0.5,0.136,1.00385963764779e-176,"0","GZMB",336.987125313777
"4",4.43330479409027e-211,1.59217708856453,0.594,0.167,4.0028308985841e-207,"0","ZEB2",328.621582008817
"5",4.98701556616947e-259,1.2588956963645,0.916,0.353,4.50277635469442e-255,"0","CST7",320.195738938905
"6",3.61228878540066e-262,1.215293849049,0.977,0.441,3.26153554433825e-258,"0","NKG7",312.921854315295
"7",4.98010328902114e-193,1.62534092880315,0.601,0.193,4.49653525965719e-189,"0","PLEK",306.128286203533
"8",1.16989183419099e-138,2.17378247742509,0.338,0.077,1.05629533709104e-134,"0","CX3CR1",291.235147770425
"9",1.28474462343966e-241,1.17936428225604,0.956,0.423,1.15999592050367e-237,"0","GZMA",279.433317245764
"10",2.47013774030711e-202,1.40218046403387,0.605,0.167,2.23028736572329e-198,"0","CCL4",277.143267136617
"11",7.93200440648722e-148,1.76105994050816,0.36,0.078,7.16180677861732e-144,"0","C1orf21",252.0868853844
"12",3.70107625049954e-145,1.69614524450273,0.49,0.156,3.34170174657604e-141,"0","FGFBP2",238.267754176589
"13",7.91514003553812e-132,1.8592461520816,0.314,0.066,7.14657993808737e-128,"0","ADGRG1",236.395528570708
"14",8.22781049603401e-184,1.27911235597835,0.627,0.217,7.4288900968691e-180,"0","SAMD3",229.126214511728
"15",2.2476178571078e-175,1.32912622341708,0.641,0.226,2.02937416318263e-171,"0","CD8A",226.872061141389
"16",1.85407549842276e-229,0.993115944566254,0.995,0.551,1.67404476752591e-225,"0","CCL5",223.228860884533
"17",1.40520480422436e-148,1.48177814371037,0.463,0.137,1.26875941773418e-144,"0","MYBL1",213.222867538239
"18",2.68464274443897e-187,1.14243115207754,0.706,0.243,2.42396393395395e-183,"0","GZMH",208.625606173421
"19",5.4864313577558e-195,1.08649330336519,0.862,0.404,4.95369887291772e-191,"0","GZMM",206.765184582765
"20",9.41880933883438e-117,1.80060100034111,0.302,0.07,8.50424295203357e-113,"0","SLAMF7",201.794010141427
"21",9.21368386773811e-155,1.30577889358788,0.628,0.238,8.31903516418074e-151,"0","PRF1",195.971201079984
"22",7.73376991117395e-112,1.81284705634584,0.3,0.074,6.98282085279896e-108,"0","TGFBR3",194.257383152501
"23",8.37808825813781e-163,1.09646923963629,0.664,0.274,7.56457588827263e-159,"0","SYNE1",173.375048837434
"24",1.28576223739734e-142,1.22308286500644,0.617,0.24,1.16091472414606e-138,"0","KLRD1",168.706179210478
"25",9.22775026748345e-121,1.31461366827313,0.413,0.128,8.33173571651081e-117,"0","TIGIT",152.599387733684
"26",4.00836531444569e-37,0.698079256482868,0.163,0.432,3.61915304241301e-33,"1","FMNL1",22.6466635407141
"27",1.44026185085497e-41,0.607413543765567,0.159,0.438,1.30041242513695e-37,"1","EIF5B",22.4050067077652
