"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","score"
"1",0,1.5332423344475,0.709,0.213,2.2250738585072e-308,"0","CD81",471.706075822956
"2",6.66354923117373e-167,1.61427154751282,0.533,0.183,6.01651860082676e-163,"0","DUSP2",261.868187359685
"3",2.06221768766766e-162,1.43220369366075,0.39,0.086,1.86197635019513e-158,"0","MYBL1",225.901525608523
"4",5.82249797340392e-229,0.958835738182969,0.894,0.441,5.2571334201864e-225,"0","ARL4C",215.046961192602
"5",1.55813252172364e-197,0.890115983119959,0.858,0.429,1.40683785386427e-193,"0","LCP1",171.66043034795
"6",1.06057036234173e-160,1.00750555254018,0.518,0.165,9.57588980158351e-157,"0","SAMD3",157.189828317617
"7",2.41320697387576e-155,0.921156085664349,0.619,0.238,2.17888457671242e-151,"0","LYAR",138.783002420829
"8",3.36858419673194e-134,1.05438926809437,0.44,0.15,3.04149467122926e-130,"0","MAP2K2",136.561243040749
"9",1.70674249678673e-182,0.755850879256616,0.817,0.365,1.54101780034874e-178,"0","AHNAK",134.39950192629
"10",9.88624907341621e-129,1.06212774279535,0.418,0.132,8.92629428838749e-125,"0","HIST1H1E",131.7562335927
"11",9.41833546512652e-143,0.871529312652656,0.55,0.212,8.50381509146274e-139,"0","PIP4K2A",120.332388775393
"12",1.24954073666806e-164,0.730361340467603,0.764,0.354,1.12821033113759e-160,"0","PTP4A2",116.819550791394
"13",1.92692446491251e-136,0.876358644070038,0.565,0.214,1.7398200993695e-132,"0","KLRG1",115.468572956665
"14",7.67215658687322e-143,0.821721041491184,0.712,0.336,6.92719018228784e-139,"0","MSN",113.52852130249
"15",8.18557252439858e-109,1.05351166169109,0.306,0.077,7.39075343227948e-105,"0","MAF",109.70355078726
"16",9.0640108577285e-105,1.05400885389766,0.361,0.115,8.18389540344306e-101,"0","STOM",105.492626246504
"17",1.41610803047688e-146,0.727597664184229,0.636,0.273,1.27860394071757e-142,"0","EMB",103.241207421779
"18",4.13873526063954e-145,0.731062327176196,0.572,0.217,3.73686406683144e-141,"0","SYNE1",102.661249612689
"19",8.43937122267038e-84,1.2501311158561,0.488,0.259,7.61990827694908e-80,"0","GNLY",98.9079364513397
"20",7.39412453066323e-101,1.00561265932945,0.388,0.138,6.67615503873583e-97,"0","ZBTB38",96.7152737554489
"21",1.69705023014464e-133,0.743770754618582,0.489,0.175,1.5322666527976e-129,"0","PARP8",95.8085810764428
